7201601889:6:R:24, icmp_sent_TOTAL:180
7201603913:6:R:24, icmp_recv_TOTAL:149
7201786120:3:R:24, icmp_sent_TOTAL:157
7201788143:3:R:24, icmp_recv_TOTAL:154
7501122888:2:R:25, icmp_sent_TOTAL:110
7501124798:2:R:25, icmp_recv_TOTAL:65
7501137433:8:R:25, icmp_sent_TOTAL:102
7501139455:8:R:25, icmp_recv_TOTAL:107
7501235126:4:R:25, icmp_sent_TOTAL:132
7501237149:4:R:25, icmp_recv_TOTAL:155
7501276502:1:R:25, TOTAL_icmp_sent:14
7501278525:1:R:25, TOTAL_icmp_recv:174
7501601888:6:R:25, icmp_sent_TOTAL:187
7501603911:6:R:25, icmp_recv_TOTAL:153
7501786108:3:R:25, icmp_sent_TOTAL:164
7501788131:3:R:25, icmp_recv_TOTAL:159
7801122889:2:R:26, icmp_sent_TOTAL:113
7801124800:2:R:26, icmp_recv_TOTAL:67
7801137425:8:R:26, icmp_sent_TOTAL:106
7801139447:8:R:26, icmp_recv_TOTAL:109
7801235127:4:R:26, icmp_sent_TOTAL:137
7801237151:4:R:26, icmp_recv_TOTAL:159
7801276494:1:R:26, TOTAL_icmp_sent:14
7801278517:1:R:26, TOTAL_icmp_recv:179
7801601871:6:R:26, icmp_sent_TOTAL:192
7801603894:6:R:26, icmp_recv_TOTAL:158
7801786109:3:R:26, icmp_sent_TOTAL:170
7801788131:3:R:26, icmp_recv_TOTAL:164
8101122881:2:R:27, icmp_sent_TOTAL:116
8101124792:2:R:27, icmp_recv_TOTAL:69
8101137427:8:R:27, icmp_sent_TOTAL:110
8101139450:8:R:27, icmp_recv_TOTAL:113
8101235129:4:R:27, icmp_sent_TOTAL:140
8101237151:4:R:27, icmp_recv_TOTAL:164
8101276496:1:R:27, TOTAL_icmp_sent:14
8101278518:1:R:27, TOTAL_icmp_recv:182
8101601882:6:R:27, icmp_sent_TOTAL:196
8101603904:6:R:27, icmp_recv_TOTAL:162
8101786111:3:R:27, icmp_sent_TOTAL:175
8101788133:3:R:27, icmp_recv_TOTAL:169
8401122906:2:R:28, icmp_sent_TOTAL:121
8401124817:2:R:28, icmp_recv_TOTAL:71
8401137432:8:R:28, icmp_sent_TOTAL:114
8401139455:8:R:28, icmp_recv_TOTAL:118
8401235134:4:R:28, icmp_sent_TOTAL:143
8401237157:4:R:28, icmp_recv_TOTAL:170
8401276511:1:R:28, TOTAL_icmp_sent:15
8401278534:1:R:28, TOTAL_icmp_recv:188
8401601887:6:R:28, icmp_sent_TOTAL:204
8401603909:6:R:28, icmp_recv_TOTAL:168
8401786125:3:R:28, icmp_sent_TOTAL:180
8401788148:3:R:28, icmp_recv_TOTAL:173
8701122879:2:R:29, icmp_sent_TOTAL:125
8701124790:2:R:29, icmp_recv_TOTAL:74
8701137425:8:R:29, icmp_sent_TOTAL:118
8701139448:8:R:29, icmp_recv_TOTAL:120
8701235118:4:R:29, icmp_sent_TOTAL:148
8701237140:4:R:29, icmp_recv_TOTAL:176
8701276494:1:R:29, TOTAL_icmp_sent:15
8701278517:1:R:29, TOTAL_icmp_recv:194
8701601880:6:R:29, icmp_sent_TOTAL:210
8701603903:6:R:29, icmp_recv_TOTAL:172
8701786108:3:R:29, icmp_sent_TOTAL:186
8701788130:3:R:29, icmp_recv_TOTAL:177
9001122890:2:R:30, icmp_sent_TOTAL:128
9001124802:2:R:30, icmp_recv_TOTAL:77
9001137426:8:R:30, icmp_sent_TOTAL:122
9001139449:8:R:30, icmp_recv_TOTAL:124
9001235139:4:R:30, icmp_sent_TOTAL:153
9001237162:4:R:30, icmp_recv_TOTAL:180
9001275788:1:SINK: Round: 30
9001277699:1:R:30, TOTAL_icmp_sent:15
