2401290121:9:R:8, icmp_recv_TOTAL:72
2401443043:12:R:8, icmp_sent_TOTAL:42
2401444842:12:R:8, icmp_recv_TOTAL:93
2401595030:11:R:8, icmp_sent_TOTAL:41
2401596829:11:R:8, icmp_recv_TOTAL:43
2401601656:6:R:8, icmp_sent_TOTAL:74
2401603455:6:R:8, icmp_recv_TOTAL:69
2401785893:3:R:8, icmp_sent_TOTAL:66
2401787692:3:R:8, icmp_recv_TOTAL:65
2700959325:10:R:9, icmp_sent_TOTAL:90
2700961124:10:R:9, icmp_recv_TOTAL:95
2701077128:13:R:9, icmp_sent_TOTAL:103
2701078927:13:R:9, icmp_recv_TOTAL:94
2701122656:2:R:9, icmp_sent_TOTAL:50
2701124455:2:R:9, icmp_recv_TOTAL:48
2701137192:8:R:9, icmp_sent_TOTAL:46
2701138991:8:R:9, icmp_recv_TOTAL:77
2701234912:4:R:9, icmp_sent_TOTAL:56
2701236711:4:R:9, icmp_recv_TOTAL:61
2701276270:1:R:9, TOTAL_icmp_sent:9
2701278181:1:R:9, TOTAL_icmp_recv:165
2701288316:9:R:9, icmp_sent_TOTAL:48
2701290115:9:R:9, icmp_recv_TOTAL:79
2701443026:12:R:9, icmp_sent_TOTAL:46
2701444936:12:R:9, icmp_recv_TOTAL:101
2701595023:11:R:9, icmp_sent_TOTAL:46
2701596821:11:R:9, icmp_recv_TOTAL:45
2701601666:6:R:9, icmp_sent_TOTAL:80
2701603466:6:R:9, icmp_recv_TOTAL:71
2701785887:3:R:9, icmp_sent_TOTAL:71
2701787686:3:R:9, icmp_recv_TOTAL:69
3000959427:10:R:10, icmp_sent_TOTAL:95
3000961338:10:R:10, icmp_recv_TOTAL:99
3001077220:13:R:10, icmp_sent_TOTAL:107
3001079131:13:R:10, icmp_recv_TOTAL:97
3001122788:2:R:10, icmp_sent_TOTAL:53
3001124699:2:R:10, icmp_recv_TOTAL:51
3001137314:8:R:10, icmp_sent_TOTAL:50
3001139224:8:R:10, icmp_recv_TOTAL:80
3001235015:4:R:10, icmp_sent_TOTAL:61
3001236926:4:R:10, icmp_recv_TOTAL:64
3001275787:1:SINK: Round: 10
3001277586:1:R:10, TOTAL_icmp_sent:9
3001279608:1:R:10, TOTAL_icmp_recv:173
3001288438:9:R:10, icmp_sent_TOTAL:51
3001290348:9:R:10, icmp_recv_TOTAL:83
3001443137:12:R:10, icmp_sent_TOTAL:48
3001445160:12:R:10, icmp_recv_TOTAL:106
3001595145:11:R:10, icmp_sent_TOTAL:50
3001597055:11:R:10, icmp_recv_TOTAL:48
3001601768:6:R:10, icmp_sent_TOTAL:86
3001603680:6:R:10, icmp_recv_TOTAL:77
3001786008:3:R:10, icmp_sent_TOTAL:77
3001787920:3:R:10, icmp_recv_TOTAL:73
3300959537:10:R:11, icmp_sent_TOTAL:103
3300961560:10:R:11, icmp_recv_TOTAL:104
3301077238:13:R:11, icmp_sent_TOTAL:117
3301079261:13:R:11, icmp_recv_TOTAL:104
3301122787:2:R:11, icmp_sent_TOTAL:57
3301124698:2:R:11, icmp_recv_TOTAL:53
3301137312:8:R:11, icmp_sent_TOTAL:54
3301139223:8:R:11, icmp_recv_TOTAL:86
3301235025:4:R:11, icmp_sent_TOTAL:66
3301236936:4:R:11, icmp_recv_TOTAL:67
3301276504:1:R:11, TOTAL_icmp_sent:10
3301278527:1:R:11, TOTAL_icmp_recv:186
3301288436:9:R:11, icmp_sent_TOTAL:54
3301290347:9:R:11, icmp_recv_TOTAL:88
3301443146:12:R:11, icmp_sent_TOTAL:52
3301445169:12:R:11, icmp_recv_TOTAL:112
3301595143:11:R:11, icmp_sent_TOTAL:54
3301597054:11:R:11, icmp_recv_TOTAL:50
3301601767:6:R:11, icmp_sent_TOTAL:94
3301603678:6:R:11, icmp_recv_TOTAL:83
3301786006:3:R:11, icmp_sent_TOTAL:83
3301787917:3:R:11, icmp_recv_TOTAL:77
3600959547:10:R:12, icmp_sent_TOTAL:108
3600961569:10:R:12, icmp_recv_TOTAL:108
3601077238:13:R:12, icmp_sent_TOTAL:125
3601079260:13:R:12, icmp_recv_TOTAL:108
3601122786:2:R:12, icmp_sent_TOTAL:62
3601124697:2:R:12, icmp_recv_TOTAL:57
3601137322:8:R:12, icmp_sent_TOTAL:57
3601139232:8:R:12, icmp_recv_TOTAL:89
3601235015:4:R:12, icmp_sent_TOTAL:72
3601236926:4:R:12, icmp_recv_TOTAL:71
3601276503:1:R:12, TOTAL_icmp_sent:10
3601278526:1:R:12, TOTAL_icmp_recv:196
3601288426:9:R:12, icmp_sent_TOTAL:58
3601290337:9:R:12, icmp_recv_TOTAL:92
3601443136:12:R:12, icmp_sent_TOTAL:54
3601445159:12:R:12, icmp_recv_TOTAL:117
3601595133:11:R:12, icmp_sent_TOTAL:57
3601597044:11:R:12, icmp_recv_TOTAL:52
3601601889:6:R:12, icmp_sent_TOTAL:101
3601603799:6:R:12, icmp_recv_TOTAL:87
3601786006:3:R:12, icmp_sent_TOTAL:90
3601787916:3:R:12, icmp_recv_TOTAL:82
3900959539:10:R:13, icmp_sent_TOTAL:114
3900961562:10:R:13, icmp_recv_TOTAL:112
3901077220:13:R:13, icmp_sent_TOTAL:132
